address,id,chain,symbol,avg_price,avg_volume,median_market_cap,consistency_count,avg_price_change
5BuqNfv73EoosKcGoaRfvkREmfvZdRQN93jcCqcby893,160038511,sol,eggwifbutt,0.0227742,16799988.75,22780100.0,4,-4.273463
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,155755051,sol,arc,0.21658425,13216078.925,216539000.0,4,8.1475875
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,151917715,sol,ai16z,0.379867,12313079.75,417853000.0,4,3.6698025
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,155093767,sol,PENGU,0.011880125,11949977.475,1055600000.0,4,0.34880500000000003
2Ubidk13H1yjdig8PDfiLWGUnpFwhyrwdczsjM51aoK3,160041102,sol,BARRON,0.0060455,8771854.85,6045500.0,4,187.40691249999998
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,630,sol,SPX,0.832467,6903066.25,99915400.0,4,2.5589180000000002
EfgEGG9PxLhyk1wqtqgGnwgfVC7JYic3vC9BCWLvpump,159881686,sol,GYAT,0.0195454,6796703.35,19591300.0,4,32.5427125
6iP6zQnHrKrdbUentkt9TiXpnv289zPup4udff3VscK4,160049448,sol,KITTYCAT,0.00218371,6417460.75,2183710.0,4,16925.544272875
h5NciPdMZ5QCB5BYETJMYBMpVx9ZuitR6HcVjyBhood,159762932,sol,HOOD,0.000489288,5976613.525,22017600.0,4,-15.105387499999999
2z1p8xCEjRzpBHjXWrx4tJnz7BFL6z7NnvbCxH7bpump,156830672,sol,San,0.029466,5359688.35,27756300.0,4,24.7031625
2sCUCJdVkmyXp4dT8sFaA9LKgSMK4yDPi9zLHiwXpump,159086481,sol,ALPHA,0.0976942,4063093.5,77861900.0,4,12.1430675
ULZYAEmnvEumAFS32M3XctopDKjk4pNUfn2RVD2AEP5,160047777,sol,NETFLIX,0.0092449975,3881186.5,9229310.0,4,265.8642175
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,143993438,sol,KMNO,0.0936048,3236049.2,936047000.0,4,6.097360500000001
6t6YpXKmUTFa3or6AmoQ7hVLqeGDK9LN3fanznyqD7HX,143017488,sol,wiflove,0.000881889,2465491.0375,881640.0,4,2820.4839524999998
BP7YCdPC7GK9Wu28eFAMcbe5zd9j1c6q1HVadmi3pump,159986871,sol,JAI,0.00058016725,2036773.725,578789.5,4,1958.0351925
3Eegyajko6aAc7Br9DqCTSxtgq4PtwmZ1CeitC5opump,160050154,sol,CMC,0.00011522,1343339.425,112953.0,4,969.2214825
FLASHTrGnUXkWtgF5EWQrcHkyiRQdDhEFMJg7qhHkxRb,155250084,sol,FLSH,0.00114111,1242496.3425,868179.0,4,2.0449895000000002
8JALdcA3LmW41MSZHTnpDYFC6ci5qmkFa6CaeMDepump,160003597,sol,1DOLLAR,0.00029527275,1112363.05,295181.0,4,1312.6508849999998
BfGcwxyM1D2kUKo1NwmmWFV4LBGURXXuB8kakApSpump,160046957,sol,MEXC,0.000223214,1066756.575,223212.0,4,1889.50695
